workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Windows""",1080,1920,"""Firefox"""
2,"""Windows""",1080,1920,"""Chrome"""
3,"""Mac""",800,1280,"""Chrome"""
4,"""Windows""",1080,1920,"""Chrome"""
5,"""Windows""",900,1600,"""Firefox"""
6,"""Windows""",768,1366,"""Chrome"""
7,"""Windows""",768,1366,"""Chrome"""
8,"""Windows""",768,1366,"""Chrome"""
9,"""Windows""",820,1024,"""Chrome"""
10,"""Mac""",1080,1920,"""Chrome"""
11,"""Windows""",768,1366,"""Chrome"""
12,"""Windows""",615,1093,"""Chrome"""
13,"""Windows""",768,1366,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",1080,1920,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Mac""",1296,2304,"""Chrome"""
18,"""Windows""",864,1536,"""Chrome"""
19,"""Windows""",768,1366,"""Chrome"""
